Year,Rank,University Name, Score,Link,Country,City,Logo
2017, 244,  university of dundee, 42 ,https://www.topuniversities.com/universities/university-dundee, United Kingdom, United Kingdom, Europe
2017, 374, aalborg university, 32 ,https://www.topuniversities.com/universities/aalborg-university, Denmark, Denmark, Europe
2017, 133, aalto university, 57 ,https://www.topuniversities.com/universities/aalto-university, Finland, Finland, Europe
2017, 117, aarhus university, 60 ,https://www.topuniversities.com/universities/aarhus-university, Denmark, Denmark, Europe
2017, 236, al-farabi kazakh national university, 43 ,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university, Kazakhstan, Kazakhstan, Asia
2017, 163, albert-ludwigs-universitaet freiburg, 52 ,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg, Germany, Germany, Europe
2017, 208, alma mater studiorum - university of bologna, 46 ,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna, Italy, Italy, Europe
2017, 384, american university, 31 ,https://www.topuniversities.com/universities/american-university, United States, United States, North America
2017, 228, american university of beirut (aub), 43 ,https://www.topuniversities.com/universities/american-university-beirut-aub, Lebanon, Lebanon, Asia
2017, 222, arizona state university, 44 ,https://www.topuniversities.com/universities/arizona-state-university, United States, United States, North America
2017, 358, aston university, 33 ,https://www.topuniversities.com/universities/aston-university, United Kingdom, United Kingdom, Europe
2017, 306, bauman moscow state technical university, 36 ,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university, Russia, Russia, Europe
2017, 389, beijing institute of technology, 31 ,https://www.topuniversities.com/universities/beijing-institute-technology, China (Mainland), China (Mainland), Asia
2017, 257, beijing normal university , 40 ,https://www.topuniversities.com/universities/beijing-normal-university, China (Mainland), China (Mainland), Asia
2017, 354, belarusian state university, 33 ,https://www.topuniversities.com/universities/belarusian-state-university, Belarus, Belarus, Europe
2017, 320, ben-gurion university of the negev, 35 ,https://www.topuniversities.com/universities/ben-gurion-university-negev, Israel, Israel, Asia
2017, 280, birkbeck|| university of london, 38 ,https://www.topuniversities.com/universities/birkbeck-university-london, United Kingdom, United Kingdom, Europe
